"","date","site","species","subject_site","age","cup_distance","task_experience","board_size","test_situation","session","block","trial","condition","hiding_location","pick","secondary_pick","correct","researcher","life_expectancy","norm_age"
"1",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,1,1,"long","1",1,"-",1,"kano",55,2.73925947215998
"2",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,1,2,"long","2",2,"-",1,"kano",55,2.73925947215998
"3",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,1,3,"long","3",3,"-",1,"kano",55,2.73925947215998
"4",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,2,4,"medium","2",3,"-",0,"kano",55,2.73925947215998
"5",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,2,5,"medium","1",1,"-",1,"kano",55,2.73925947215998
"6",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,2,6,"medium","3",3,"-",1,"kano",55,2.73925947215998
"7",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,3,7,"short","3",3,"-",1,"kano",55,2.73925947215998
"8",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,3,8,"short","1",1,"-",1,"kano",55,2.73925947215998
"9",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",1,3,9,"short","2",2,"-",1,"kano",55,2.73925947215998
"10",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,1,10,"medium","1",2,"-",0,"kano",55,2.73925947215998
"11",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,1,11,"medium","3",3,"-",1,"kano",55,2.73925947215998
"12",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,1,12,"medium","2",2,"-",1,"kano",55,2.73925947215998
"13",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,2,13,"short","1",1,"-",1,"kano",55,2.73925947215998
"14",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,2,14,"short","3",3,"-",1,"kano",55,2.73925947215998
"15",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,2,15,"short","2",2,"-",1,"kano",55,2.73925947215998
"16",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,3,16,"long","3",3,"-",1,"kano",55,2.73925947215998
"17",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,3,17,"long","2",2,"-",1,"kano",55,2.73925947215998
"18",20180308,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",2,3,18,"long","1",2,"-",0,"kano",55,2.73925947215998
"19",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,1,19,"short","2",2,"-",1,"kano",55,2.73925947215998
"20",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,1,20,"short","3",3,"-",1,"kano",55,2.73925947215998
"21",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,1,21,"short","1",1,"-",1,"kano",55,2.73925947215998
"22",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,2,22,"long","3",3,"-",1,"kano",55,2.73925947215998
"23",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,2,23,"long","1",3,"-",0,"kano",55,2.73925947215998
"24",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,2,24,"long","2",3,"-",0,"kano",55,2.73925947215998
"25",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,3,25,"medium","1",3,"-",0,"kano",55,2.73925947215998
"26",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,3,26,"medium","3",3,"-",1,"kano",55,2.73925947215998
"27",20180309,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",3,3,27,"medium","2",3,"-",0,"kano",55,2.73925947215998
"28",20180312,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",4,1,28,"long","2",2,"-",1,"sato",55,2.73925947215998
"29",20180312,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",4,1,29,"long","1",3,"-",0,"sato",55,2.73925947215998
"30",20180312,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",4,1,30,"long","3",2,"-",0,"sato",55,2.73925947215998
"31",20180312,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",4,2,31,"short","2",2,"-",1,"sato",55,2.73925947215998
"32",20180312,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",4,2,32,"short","3",3,"-",1,"sato",55,2.73925947215998
"33",20180312,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",4,2,33,"short","1",2,"-",0,"sato",55,2.73925947215998
"34",20180312,"kumamoto sanctuary","bonobo","louise_ks",45,15,"no",60,"group",4,3,34,"medium","1",2,"-",0,"sato",55,2.73925947215998
